generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,extinct_count
832,0.7146624892469182,0.10000119398902994,0.07444225901186846,0.018998104299412205,0.0007531298816633298,0.00033796043511783743,100.0,0.0,62.9,2.5865034312755126,1.05,0.21794494717703372,4.45,0.7399324293474372,0
833,0.7150869997035837,0.08986209551420209,0.07505882297073319,0.017266954073720406,0.0007108325354239345,0.0003074329467270431,100.0,0.0,63.1,2.4677925358506134,1.0,0.0,4.4,0.7999999999999999,0
834,0.7083683125236283,0.09379957583290978,0.07543069072836615,0.01830736432435624,0.0007481638410672609,0.0002736001632708317,100.0,0.0,63.55,3.4128433893163046,1.075,0.23848480035423641,3.95,0.6689544080129827,0
835,0.709633597189982,0.0928604276822125,0.07544370697498785,0.01792641121390852,0.000736983238990977,0.0002576992280762929,100.0,0.0,64.5,3.263433774416144,1.05,0.21794494717703372,4.3,0.714142842854285,0
836,0.7030292582924567,0.09286156247192551,0.07591053785545872,0.018328124709919656,0.0007674156873697207,0.0002875620488279162,100.0,0.0,63.25,3.222964473896664,1.0,0.0,4.25,0.6224949798994366,0
837,0.6954814946161172,0.09022165184517424,0.07630592102517288,0.01830110878787923,0.000840969790366165,0.0004023547601549787,100.0,0.0,63.1,2.0712315177207983,1.125,0.3112474899497183,4.15,0.7262919523166975,0
838,0.6846725898246537,0.10195402457313257,0.0778520901573147,0.02019821092870386,0.000901239583192552,0.0004306232116808681,100.0,0.0,63.25,2.9811910371527683,1.05,0.21794494717703372,4.15,0.5722761571129799,0
839,0.6814988887987571,0.09999566588478803,0.07842890939982422,0.019878829056110405,0.0009004611361311708,0.0004117811889421724,100.0,0.0,62.25,2.6433879775772606,1.1,0.3,4.35,0.7262919523166975,0
840,0.6707571218549683,0.10699024123586433,0.07991419027498803,0.02174701959094166,0.0009589405425132752,0.00045554647584483254,100.0,0.0,63.5,2.224859546128699,1.05,0.21794494717703372,4.35,0.5722761571129799,0
841,0.6569788265795009,0.1038082220928226,0.08276581560709474,0.02094364164063081,0.0009645501299330169,0.00038467258634556186,100.0,0.0,62.5,2.224859546128699,1.05,0.21794494717703367,4.3,0.714142842854285,0
842,0.6550589026264425,0.1076678596140297,0.08364950806930976,0.021603996421757202,0.0009124440537481664,0.00031792638430797363,100.0,0.0,62.95,4.09237095092808,1.15,0.3570714214271425,4.3,0.9,0
843,0.6527446821784221,0.11514026390082366,0.08385814300047104,0.023055296801957635,0.0009411796227188917,0.00032660497385925564,100.0,0.0,63.1,3.1448370387032774,1.025,0.10897247358851683,4.3,0.7810249675906654,0
844,0.652172139762339,0.10884090544051858,0.08288326428258101,0.0215148696804855,0.0010710026446641078,0.0003907612523112378,100.0,0.0,63.25,3.7399866309921483,1.15,0.3570714214271425,4.2,0.5099019513592784,0
845,0.6559941810452966,0.11758778128963837,0.08132836648637079,0.023432706387387887,0.0011174739918386352,0.0005589926465441703,100.0,0.0,63.45,2.4794152536434875,1.125,0.3112474899497183,3.95,0.7399324293474371,0
846,0.6684857389007645,0.12329491520744841,0.07934183446893243,0.02482891831437784,0.001067332326144991,0.0004494589769972524,100.0,0.0,63.8,2.6,1.05,0.21794494717703372,4.0,0.6324555320336759,0
